IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
10,48,89916.76737,84
10,49,55093.45358,67
10,50,54356.95231,66
10,51,51411.91404,58
10,52,43881.32308,46
10,53,61603.86876,71
10,54,47611.991,53
10,55,114084.6781,85
10,56,47267.59585,52
10,57,39074.72488,35
10,58,44888.39717,47
10,59,35749.97554,32
10,60,46169.81342,49
10,61,31174.00669,25
10,62,35022.78808,31
10,63,54025.38554,64
10,64,62228.56239,73
10,65,24089.98101,16
10,66,29184.07127,21
10,67,27914.12439,18
10,68,39665.44022,38
10,69,52071.03791,60
10,70,19575.72168,10
10,71,49720.90054,54
10,72,20010.27465,11
10,73,39524.42843,37
10,74,14989.95051,6
10,75,25490.89828,17
10,76,33004.91331,28
10,77,29838.09921,23
10,78,17245.37543,7
10,79,28793.02795,20
10,80,38339.06404,34
10,81,76630.37186,80
10,82,41253.1422,41
10,83,10072.6125,1
10,84,50135.34714,56
10,85,11297.49316,2
10,86,52674.73971,61
10,87,46214.51589,50
10,88,68764.49287,79
11,1,17750.1085,8
11,2,9729.155873,2
11,3,11969.83455,3
11,4,23856.04163,16
11,5,46826.44298,47
11,6,59458.70013,59
11,7,56290.34739,55
11,8,39722.92449,40
11,9,107727.6886,86
11,10,28138.60779,23
11,12,12155.65337,5
11,13,17394.6169,7
11,14,34672.50039,32
11,15,34881.14225,33
11,16,22525.18003,15
11,17,9422.328056,1
11,18,58829.70061,56
11,19,12041.2458,4
11,20,47592.99973,49
11,21,69580.49674,68
11,22,28529.88292,24
11,23,59829.15923,60
11,24,39203.64864,39
11,25,21636.44304,14
11,26,54026.89471,52
11,27,28100.84358,22
11,28,40945.33068,42
11,29,19631.24817,11
11,30,75308.89799,72
11,31,25354.95263,19
11,32,33038.86487,31
11,33,46078.19605,46
11,34,32316.98063,29
11,35,49802.25796,50
11,36,35787.12561,36
11,37,93094.25116,82
11,38,64401.83295,64
11,39,71122.22501,69
11,40,107800.1484,87
11,41,94224.33857,83
11,42,63500.01482,63
11,43,76055.70325,73
11,44,67432.62035,66
11,45,79009.14442,78
11,46,83427.88047,80
11,47,78037.13812,76
11,48,73186.2314,70
11,49,54894.25299,53
11,50,76547.33751,74
11,51,62654.11895,62
11,52,44751.80442,44
11,53,87884.61856,81
11,54,28838.92307,25
11,55,95320.91346,84
11,56,66075.65035,65
11,57,55274.32623,54
11,58,68503.4877,67
11,59,47254.93955,48
11,60,39770.20297,41
11,61,38593.93516,38
11,62,31486.70132,27
11,63,35000.27087,34
11,64,41832.01407,43
11,65,32151.99616,28
11,66,53603.88948,51
11,67,26308.92415,21
11,68,26061.65826,20
11,69,29565.77275,26
11,70,32533.54188,30
11,71,77323.50645,75
11,72,25158.16908,18
11,73,21153.39802,13
11,74,36965.3064,37
11,75,19652.2977,12
11,76,60235.55922,61
11,77,15292.40314,6
11,78,19300.50304,10
11,79,44810.82895,45
11,80,58941.28825,57
11,81,58965.88126,58
11,82,18224.85191,9
11,83,35212.76409,35
11,84,78222.75348,77
11,85,24194.79262,17
11,86,80725.90847,79
11,87,73545.99345,71
11,88,95953.80494,85
12,1,27750.09974,21
12,2,12152.70066,4
12,3,20967.65486,12
12,4,11870.53651,3
12,5,57748.75958,52
12,6,71193.13601,62
12,7,49968.98755,45
12,8,33986.42564,30
12,9,118720.4038,87
12,10,39522.14174,35
12,11,12155.65337,5
12,13,7297.511182,1
12,14,23744.76163,16
12,15,46957.88896,43
12,16,34679.12119,31
12,17,16022.10428,6
12,18,55637.36204,50
12,19,23967.45852,18
12,20,59640.762,53
12,21,81668.61623,70
12,22,20869.81542,11
12,23,71902.24583,63
12,24,31150.88553,24
12,25,19082.46026,9
12,26,66182.116,59
12,27,39628.86452,36
12,28,53021.11082,48
12,29,22894.21909,14
12,30,87456.26402,75
12,31,32970.04364,28
12,32,30174.41464,23
12,33,57443.45688,51
12,34,42391.22774,38
12,35,60008.41206,54
12,36,38343.55682,34
12,37,104328.8774,84
12,38,73221.52584,65
12,39,75778.41858,67
12,40,107856.3803,85
12,41,91266.09976,81
12,42,75623.45278,66
12,43,88198.08579,79
12,44,76754.50192,68
12,45,87673.81895,76
12,46,87749.25826,78
12,47,83911.80319,71
12,48,63963.02347,57
12,49,54107.74647,49
12,50,84047.16381,72
12,51,66163.73462,58
12,52,45480.31326,41
12,53,97275.01148,83
12,54,21436.75472,13
12,55,84975.78382,73
12,56,72464.85736,64
12,57,61186.15619,55
12,58,76831.71065,69
12,59,52039.07378,47
12,60,37759.29852,32
12,61,42912.1955,39
12,62,32503.92164,27
12,63,26541.86629,19
12,64,32040.94283,26
12,65,37890.96653,33
12,66,62705.51634,56
12,67,29725.57414,22
12,68,22903.32599,15
12,69,19467.91688,10
12,70,39831.30763,37
12,71,87721.07608,77
12,72,31751.75492,25
12,73,16216.34207,7
12,74,46224.09637,42
12,75,23821.84718,17
12,76,70515.15394,61
12,77,16808.19867,8
12,78,27271.81367,20
12,79,51463.34484,46
12,80,66340.40774,60
12,81,49737.79784,44
12,82,10045.59381,2
12,83,45454.08805,40
12,84,89201.14106,80
12,85,33576.34333,29
12,86,92186.53808,82
12,87,85406.08557,74
