OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
121,61,42,1,197,77051,721,40,672,9,11/17/2020 4:00 PM,0.001401,0.20744526,0.001401,0.20744527,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,0.0
122,61,24,2,197,77051,721,40,672,9,11/17/2020 4:00 PM,0.001401,0.20744526,0.001401,0.20744527,INTRACARE HOSPITAL,7601, ,FANNIN, , ,HOUSTON,77054,2,1.39542303
123,62,50,1,107,77034,1968,154,1794,20,11/17/2020 4:00 PM,0.00324382,0.3726589,0.00324382,0.3726589,MEMORIAL HOSPITAL - SOUTHEAST,11800, ,ASTORIA,BLVD, ,HOUSTON,77089,2,0.93432217
124,62,81,2,107,77034,1968,154,1794,20,11/17/2020 4:00 PM,0.00324382,0.3726589,0.00324382,0.3726589,SURGICAL OUTPATIENT HOSPITAL,3534, ,VISTA,RD, ,PASADENA,77504,2,1.24178513
125,63,15,1,125,77044,2116,148,1951,17,11/17/2020 4:00 PM,0.01082353,0.57252229,0.01082353,0.57252229,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,3.18948487
126,63,89,2,125,77044,2116,148,1951,17,11/17/2020 4:00 PM,0.01082353,0.57252229,0.01082353,0.57252229,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,3.78473097
127,64,11,1,266,77046,61,12,49,0,11/17/2020 4:00 PM,2.18e-05,0.02573954,2.18e-05,0.02573954,TWELVE OAKS HOSPITAL / BAYOU CITY MEDICAL CENTER,4200, ,PORTSMOUTH, , ,HOUSTON,77027,2,0.3991436
128,64,108,2,266,77046,61,12,49,0,11/17/2020 4:00 PM,2.18e-05,0.02573954,2.18e-05,0.02573954,HOUSTON DAY HOSPITAL,4665, ,SOUTHWEST FRWY, , ,HOUSTON,77027,2,0.99763059
129,65,24,1,196,77054,803,79,721,3,11/17/2020 4:00 PM,0.0013113,0.20189757,0.0013113,0.20189757,INTRACARE HOSPITAL,7601, ,FANNIN, , ,HOUSTON,77054,2,0.0
130,65,25,1,196,77054,803,79,721,3,11/17/2020 4:00 PM,0.0013113,0.20189757,0.0013113,0.20189757,MEDICAL CENTER HOSPITAL,8081, ,GREENBRAIR, , ,HOUSTON,77054,2,0.0
